"UniProt_ID"	"GENE_ID"	"Gene_Name"	"Gene_products"	"padj"
"Q769F6"	"DDB_G0277923"	"empD"	"emp24/gp25L/p24 family protein D"	0.047
"Q54M21"	"DDB_G0286251"	"dnajc3"	"DNAJ heat shock N-terminal domain-containing protein, TPR repeat-containing protein"	0.048
"Q54TI6"	"DDB_G0281725"	"ube2m"	"ubiquitin-conjugating enzyme E2 M, NEDD8-conjugating enzyme (Ubc12)"	0.048
"Q54Z53"	"DDB_G0277775"	"DDB_G0277775"	"peptidylprolyl isomerase, PpiC-type peptidyl-prolyl cis-trans isomerase"	0.048
"P54872"	"DDB_G0288461"	"hgsA"	"hydroxymethylglutaryl-CoA synthase"	0.049
"Q54JL8"	"DDB_G0287967"	"DDB_G0287967"	"unknown"	0.049
"Q54JZ9"	"DDB_G0287869"	"DDB_G0287869"	""	0.049
"Q54KJ9"	"DDB_G0287305"	"DDB_G0287305"	""	0.049
"Q54SR5"	"DDB_G0282271"	"gxcV"	"pleckstrin homology (PH) domain-containing protein, RhoGEF domain-containing protein, FYVE-type zinc finger-containing protein"	0.049
"Q55GD7"	"DDB_G0267712"	"DDB_G0267712"	"CDGSH iron-sulfur domain-containing protein"	0.049
"Q54BR3"	"DDB_G0293478"	"DDB_G0293478"	"unknown"	0.05
"Q54G38"	"DDB_G0290425"	"DDB_G0290425"	"Surfeit locus protein 6"	0.05
"Q54XE6"	"DDB_G0279013"	"nola1"	"Gar1 family protein, H/ACA RNP complex subunit 1"	0.05
"Q553B6"	"DDB_G0275863"	"nmt"	"glycylpeptide N-tetradecanoyltransferase, peptide N-myristoyltransferase"	0.05
"Q55CF8"	"DDB_G0270070"	"DDB_G0270070"	"phospholipase D"	0.05
"Q75JD4"	"DDB_G0271676"	"nlp"	"SH3 domain-containing protein Nlp"	0.05
"P35084"	"DDB_G0279193"	"rpb1"	"RNA polymerase II largest subunit, RNA polymerase II core subunit"	0.051
"Q54D77"	"DDB_G0292538"	"gtpbp1"	"GTP-binding protein 1"	0.051
"Q54LW2"	"DDB_G0286381"	"DDB_G0286381"	""	0.051
"Q55E83"	"DDB_G0270854"	"nif3"	"protein NIF3"	0.051
"Q54JV6"	"DDB_G0287777"	"sec61g"	"protein transport protein SEC61 gamma subunit"	0.052
"Q54UG7"	"DDB_G0281089"	"prkab"	"AMP-activated protein kinase beta subunit"	0.052
"Q551U4"	"DDB_G0276325"	"DDB_G0276325"	"UPF0668 protein C10orf76"	0.052
"Q55C99"	"DDB_G0270152"	"maspS"	"aspartyl-tRNA synthetase, aspartate-tRNA ligase, putative mitochondrial aspartyl-tRNA synthetase, putative mitochondrial aspartate-tRNA ligase"	0.052
"P36411"	"DDB_G0269236"	"rab7A"	"Rab GTPase"	0.053
"Q37313"	"DDB_G0294018"	"nad1"	"NADH dehydrogenase subunit 1"	0.053
"Q54BM1"	"DDB_G0293560"	"rpa2"	"RNA polymerase I, second largest subunit"	0.053
"Q54MD1"	"DDB_G0286033"	"pex5"	"tetratricopeptide-like helical domain-containing protein (TPR), peroxisomal biogenesis factor 5, peroxin 5, putative peroxisome receptor 1"	0.053
"Q54NE5"	"DDB_G0285313"	"cepH"	"centrosomal protein 192 kDa"	0.053
"Q869Y7"	"DDB_G0275029"	"odhB"	"dihydrolipoamide S-succinyltransferase, 2-oxoglutarate dehydrogenase E2 component, dihydrolipoyllysine-residue succinyltransferase"	0.053
"P25870"	"DDB_G0277221"	"chcA"	"clathrin heavy chain"	0.054
"Q1ZXE5"	"DDB_G0294589"	"DDB_G0294589"	"short-chain dehydrogenase/reductase (SDR) family protein"	0.054
"Q54KH9"	"DDB_G0287335"	"DDB_G0287335"	"RNA-binding region RNP-1 domain-containing protein, RNA recognition motif-containing protein RRM"	0.054
"Q54XG4"	"DDB_G0278981"	"DDB_G0278981"	"E3 ubiquitin-protein ligase, TRIAD1 protein, ariadne-2-like protein"	0.054
"Q54Z65"	"DDB_G0277807"	"DDB_G0277807"	""	0.054
"Q54F74"	"DDB_G0291029"	"DDB_G0291029"	"sulfate adenylyltransferase, adenylylsulfate kinase"	0.055
"Q54JT8"	"DDB_G0287799"	"DDB_G0287799"	"RING zinc finger-containing protein, Zinc finger, N-recognin domain-containing protein"	0.055
"Q54SG3"	"DDB_G0282483"	"DDB_G0282483"	""	0.055
"Q54UF6"	"DDB_G0281103"	"gpt10"	"putative glycophosphotransferase"	0.055
"Q55F44"	"DDB_G0268644"	"DDB_G0268644"	"PUCC protein"	0.055
"Q86IE2"	"DDB_G0275633"	"DDB_G0275633"	"DEAD/DEAH box helicase, superkiller viralicidic activity 2-like protein"	0.055
"Q54Q29"	"DDB_G0284169"	"DDB_G0284169"	"transmembrane protein"	0.056
"Q550C8"	"DDB_G0277307"	"DDB_G0277307"	"peptidase S16, Lon protease family protein"	0.056
"Q55CM9"	"DDB_G0269992"	"DDB_G0269992"	""	0.056
"O77082"	"DDB_G0286117"	"rps10"	"40S ribosomal protein S10"	0.057
"P07670"	"DDB_G0276331"	"pyr4"	"dihydroorotate oxidase, dihydroorotate dehydrogenase"	0.057
"Q54K96"	"DDB_G0287513"	"jcdG"	"transcription factor jumonji, jmjC domain-containing protein, cupin region-containing protein"	0.057
"Q54KG3"	"DDB_G0287445"	"DDB_G0287445"	"unknown"	0.057
"Q54P63"	"DDB_G0284769"	"vps24"	"SNF7 family protein"	0.057
"Q54RI2"	"DDB_G0283127"	"DDB_G0283127"	""	0.057
"Q54RT6"	"DDB_G0282937"	"DDB_G0282937"	"unknown"	0.057
"P34144"	"DDB_G0277869"	"rac1A"	"Rho GTPase Rac1A"	0.058
"Q54BM3"	"DDB_G0293556"	"mcfG"	"mitochondrial substrate carrier family protein G"	0.058
"Q54C73"	"DDB_G0293122"	"DDB_G0293122"	"glutathione S-transferase, glutathione transferase"	0.058
"Q54P80"	"DDB_G0284741"	"DDB_G0284741"	"Protein SPT23"	0.058
"Q54WH2"	"DDB_G0279607"	"forA"	"profilin binding protein ForA"	0.058
"Q54XU8"	"DDB_G0278573"	"DDB_G0278573"	"glutamine amidotransferase class-I domain-containing protein"	0.058
"Q54XV4"	"DDB_G0278709"	"DDB_G0278709"	"Protein YIF1A"	0.058
"Q55CH9"	"DDB_G0270050"	"DDB_G0270050"	""	0.058
"Q55DV8"	"DDB_G0269510"	"vps37"	"Modifier of rudimentary (Modr) family protein"	0.058
"Q55GH1"	"DDB_G0268496"	"DDB_G0268496"	"Uncharacterized protein YKL027W"	0.058
"Q86JM5"	"DDB_G0272012"	"DDB_G0272012"	"GNS1/SUR4 family protein"	0.058
"P34147"	"DDB_G0286555"	"racA"	"Rho GTPase RacA"	0.059
"Q54C86"	"DDB_G0293108"	"DDB_G0293108"	""	0.059
"Q54CG0"	"DDB_G0292986"	"abcG10"	"ABC transporter G family protein"	0.059
"Q54DU1"	"DDB_G0292034"	"mcfP"	"mitochondrial substrate carrier family protein P"	0.059
"Q54KA3"	"DDB_G0287497"	"nup133"	"nucleoporin 133"	0.059
"Q54MF3"	"DDB_G0285999"	"cnbB"	"calcium-binding EF-hand domain-containing protein, putative CaM-dependent protein phosphatase, regulatory subunit, putative calcineurin B"	0.059
"B0G198"	"DDB_G0295683"	"DDB_G0295683"	"LIM-type zinc finger-containing protein, cofilin/tropomyosin type actin binding domain-containing protein"	0.06
"Q1ZXF7"	"DDB_G0284553"	"gmd"	"GDP-mannose 4,6-dehydratase"	0.06
"Q54DB2"	"DDB_G0292398"	"psmE4"	"proteasome activator complex subunit 4"	0.06
"Q54GP8"	"DDB_G0290015"	"grxA"	"glutaredoxin"	0.06
"Q54K35"	"DDB_G0287627"	"timm17"	"mitochondrial import inner membrane translocase subunit 17"	0.06
"Q54M22"	"DDB_G0286335"	"bkdA"	"branched-chain alpha-keto acid dehydrogenase E1 alpha chain"	0.06
"Q54QU9"	"DDB_G0283627"	"prsC"	"phosphoribosyl pyrophosphate synthetase"	0.06
"Q54VG4"	"DDB_G0280345"	"sgtA"	"tetratricopeptide-like helical domain-containing protein (TPR)"	0.06
"Q552L7"	"DDB_G0275981"	"DDB_G0275981"	"unknown"	0.06
"Q556J9"	"DDB_G0272889"	"surf1-1"	"surf1 family protein"	0.06
"Q55BI3"	"DDB_G0271346"	"yod1"	"C2H2-type zinc finger-containing protein, ubiquitin thioesterase OTU1"	0.06
"Q55CQ6"	"DDB_G0269950"	"serC"	"phosphoserine transaminase, phosphoserine aminotransferase"	0.06
"Q55F82"	"DDB_G0268600"	"uduB"	"unknown"	0.06
"Q55FN5"	"DDB_G0268024"	"hdaA"	"histone deacetylase family protein, type-1 histone deacetylase"	0.06
"Q55FR9"	"DDB_G0267982"	"copA"	"WD40 repeat-containing protein, coatomer protein complex alpha subunit"	0.06
"Q86L24"	"DDB_G0276843"	"DDB_G0276843"	""	0.06
"B0G117"	"DDB_G0278053"	"ilvB"	"thiamine pyrophosphate-binding enzyme family protein, 2-hydroxyphytanoyl-CoA lyase"	0.061
"O15743"	"DDB_G0276155"	"spnA"	"protein serine/threonine phosphatase"	0.061
"Q23921"	"DDB_G0289391"	"pkiA"	"putative protein kinase C inhibitor, histidine triad (HIT) family protein"	0.061
"Q54B68"	"DDB_G0293872"	"idhB"	"isocitrate dehydrogenase (NAD+), isocitrate dehydrogenase (NAD+) beta subunit"	0.061
"Q54BU4"	"DDB_G0293416"	"abcB1"	"ABC transporter B family protein"	0.061
"Q54HG9"	"DDB_G0289479"	"swp1"	"dolichyl-diphosphooligosaccharide-protein glycotransferase subunit Swp1"	0.061
"Q54HM2"	"DDB_G0289357"	"DDB_G0289357"	""	0.061
"Q54II8"	"DDB_G0288723"	"DDB_G0288723"	"UPF0553 family protein"	0.061
"Q54JB7"	"DDB_G0288163"	"arl1"	"ARF-like protein, ADP-ribosylation factor-like protein"	0.061
"Q76NZ9"	"DDB_G0277159"	"DDB_G0277159"	""	0.061
"B0G0Z7"	"DDB_G0294597"	"DDB_G0294597"	"beta-lactamase family protein"	0.062
"P34118"	"DDB_G0269156"	"mvpA"	"major vault protein-alpha"	0.062
"Q1ZXC3"	"DDB_G0290721"	"DDB_G0290721"	"aminotransferase class-III"	0.062
"Q54BC4"	"DDB_G0293756"	"DDB_G0293756"	"regulator of chromosome condensation (RCC1) domain-containing protein, BTB/POZ domain-containing protein"	0.062
"Q54DF7"	"DDB_G0292354"	"DDB_G0292354"	"tau-tubulin kinase homolog"	0.062
"Q54DT9"	"DDB_G0292038"	"DDB_G0292038"	"acyltransferase domain-containing protein"	0.062
"Q54G21"	"DDB_G0290433"	"DDB_G0290433"	"pectin lyase-like family protein, FKBP-type peptidylprolyl cis-trans isomerase domain-containing protein"	0.062
"Q54IR8"	"DDB_G0288569"	"washc5"	"WASH complex subunit strumpellin"	0.062
"Q54JQ2"	"DDB_G0287851"	"DDB_G0287851"	"peptidase M16 family protein"	0.062
"Q54PZ2"	"DDB_G0284221"	"atox1"	"copper transport protein"	0.062
"Q54RN0"	"DDB_G0283023"	"hcpA"	"heterochromatin protein A"	0.062
"Q54SF9"	"DDB_G0282489"	"mhkD"	"putative myosin heavy chain kinase D"	0.062
"Q54SN5"	"DDB_G0282337"	"DDB_G0282337"	"putative phosphatidylserine decarboxylase"	0.062
"Q54UD1"	"DDB_G0281151"	"DDB_G0281151"	"DNA repair XPGC family protein"	0.062
"Q55BZ5"	"DDB_G0270296"	"dcd1A"	"acid ceramidase-like protein, acid N-acylsphingosine amidohydrolase-like protein"	0.062
"Q55D59"	"DDB_G0269778"	"DDB_G0269778"	"cell differentiation family, Rcd1-like protein"	0.062
"Q86IY4"	"DDB_G0274339"	"DDB_G0274339"	"acetyl-CoA C-acyltransferase, beta-ketothiolase, 3-ketoacyl-CoA thiolase"	0.062
"Q8T191"	"DDB_G0274103"	"ggtA"	"glycosyltransferase, UDP-glucose glycoprotein alpha-glucosyltransferase"	0.062
"Q54ND4"	"DDB_G0285341"	"DDB_G0285341"	""	0.063
"Q553T2"	"DDB_G0275365"	"DDB_G0275365"	"Heterogeneous nuclear ribonucleoprotein L"	0.063
"Q55F75"	"DDB_G0268226"	"DDB_G0268226"	""	0.063
"Q9BKJ9"	"DDB_G0287035"	"lmpB"	"lysosomal integral membrane glycoprotein LmpB"	0.063
"Q54GD2"	"DDB_G0290229"	"DDB_G0290229"	"cholinephosphate cytidylyltransferase"	0.064
"Q54LS2"	"DDB_G0286473"	"pfdn3"	"prefoldin subunit 3"	0.064
"Q54VD6"	"DDB_G0280435"	"dynA"	"dynactin 150 kDa subunit"	0.064
"Q54YQ9"	"DDB_G0278607"	"mvd"	"diphosphomevalonate decarboxylase, mevalonate 5-diphosphate decarboxylase"	0.064
"O21047"	"DDB_G0294048"	"nad4"	"NADH dehydrogenase subunit 4"	0.065
"P36412"	"DDB_G0269238"	"rab11A"	"Rab GTPase"	0.065
"P54695"	"DDB_G0289177"	"myoF"	"myosin IF heavy chain"	0.065
"Q1ZXC6"	"DDB_G0290103"	"elp3"	"elongation protein 3, RNA polymerase II elongator complex subunit, HAG group protein, GCN5-related N-acetyltransferase, GNAT family protein"	0.065
"Q54BU3"	"DDB_G0293428"	"DDB_G0293428"	""	0.065
"Q54DB3"	"DDB_G0292396"	"DDB_G0292396"	""	0.065
"Q54DT4"	"DDB_G0292046"	"DDB_G0292046"	"Ubiquitin carboxyl-terminal hydrolase 34"	0.065
"Q54G70"	"DDB_G0290343"	"sodE"	"superoxide dismutase, putative cytoplasmatic superoxide dismutase"	0.065
"Q54MN5"	"DDB_G0285825"	"DDB_G0285825"	""	0.065
"Q54NZ8"	"DDB_G0284901"	"DDB_G0284901"	"isochorismatase family protein 1B"	0.065
"Q54P70"	"DDB_G0284757"	"DDB_G0284757"	"OTU domain containin protein"	0.065
"Q54Q48"	"DDB_G0284097"	"DDB_G0284097"	"unknown"	0.065
"Q54X54"	"DDB_G0279205"	"DDB_G0279205"	"CAATT-binding protein"	0.065
"Q54XX3"	"DDB_G0278539"	"rpl5"	"60S ribosomal protein L5"	0.065
"Q55EP8"	"DDB_G0268796"	"DDB_G0268796"	""	0.065
"Q75J87"	"DDB_G0277389"	"DDB_G0277389"	""	0.065
"Q7Z1I0"	"DDB_G0289813"	"cupF"	"calcium up-regulated protein, ricin B lectin domain-containing protein"	0.065
"Q86KT5"	"DDB_G0277745"	"DDB_G0277745"	"HAD superfamily hydrolase-like, type 3"	0.065
"Q54QR4"	"DDB_G0283677"	"DDB_G0283677"	"Tetratricopeptide repeat protein 1"	0.066
"Q54RA4"	"DDB_G0283291"	"DDB_G0283291"	""	0.066
"Q86KB3"	"DDB_G0274207"	"DDB_G0274207"	"peptidase C19 family protein, putative ubiquitin carboxyl-terminal hydrolase (UCH)"	0.066
"Q1ZXJ3"	"DDB_G0278159"	"pssA"	"phosphatidylserine synthase"	0.067
"Q54AX5"	"DDB_G0294094"	"lrrA"	"leucine-rich repeat-containing protein (LRR)"	0.067
"Q54JA3"	"DDB_G0288239"	"sibE"	"type A von Willebrand factor (VWFA) domain-containing protein"	0.067
"Q54Q66"	"DDB_G0284075"	"elp1"	"elongation protein 1, IKI3 domain-containing protein, RNA polymerase II elongator complex subunit"	0.067
"Q54R04"	"DDB_G0283525"	"arl8"	"ARF-like protein, ADP-ribosylation factor-like protein"	0.067
"Q54SV2"	"DDB_G0282201"	"DDB_G0282201"	""	0.067
"Q54XP2"	"DDB_G0278821"	"snrpF"	"LSM (like-Sm) domain-containing protein, putative small nuclear ribonucleoprotein F"	0.067
"Q54EY3"	"DDB_G0291269"	"spg1"	"small GTPase"	0.068
"Q54HY5"	"DDB_G0289141"	"DDB_G0289141"	"ankyrin repeat-containing protein, poly(ADP-ribosyl)transferase, NAD+ ADP-ribosyltransferase, BRCT domain-containing protein"	0.068
"Q54J96"	"DDB_G0288241"	"DDB_G0288241"	"Enhancer of mRNA-decapping protein 4"	0.068
"Q54R90"	"DDB_G0283309"	"DDB_G0283309"	""	0.068
"Q54YD2"	"DDB_G0278295"	"DDB_G0278295"	"putative phospholipid transfer protein, ML domain-containing protein"	0.068
"Q551W8"	"DDB_G0276317"	"DDB_G0276317"	""	0.068
"Q55BD4"	"DDB_G0271280"	"DDB_G0271280"	"unknown"	0.068
"Q55E97"	"DDB_G0269334"	"DDB_G0269334"	"C2 calcium/lipid-binding (CaLB) region-containing protein, C2 calcium-dependent membrane targeting domain-containing protein"	0.068
"Q55EX9"	"DDB_G0268948"	"DDB_G0268948"	"putative SAM dependent methyltransferase"	0.068
"Q58A40"	"DDB_G0270212"	"DDB_G0270212"	"galactose-binding domain-containing protein"	0.068
"Q8T665"	"DDB_G0292384"	"abcH1"	"putative non-transporter ABC protein"	0.068
"P16894"	"DDB_G0283349"	"gpaA"	"G-protein subunit alpha 1"	0.069
"P36416"	"DDB_G0275449"	"natA"	"N-acetyltransferase, N-acetyltransferase complex subunit"	0.069
"Q54BQ3"	"DDB_G0293502"	"rpl23a"	"S60 ribosomal protein L23a"	0.069
"Q54HG8"	"DDB_G0289469"	"DDB_G0289469"	"putative ribosomal protein S15P"	0.069
"Q54MJ6"	"DDB_G0285901"	"DDB_G0285901"	"Vps53-like domain-containing protein"	0.069
"Q54WV4"	"DDB_G0279377"	"gtf2f1"	"transcription initiation factor IIF subunit alpha"	0.069
"Q552S3"	"DDB_G0275917"	"DDB_G0275917"	"Beta-mannosidase"	0.069
"Q556U5"	"DDB_G0273095"	"DDB_G0273095"	"PDAP1 family protein"	0.069
"Q55BP9"	"DDB_G0270412"	"DDB_G0270412"	"putative mitochondrial outer membrane TOB/SAM complex protein mitofilin/Mic60"	0.069
"Q55BS6"	"DDB_G0270800"	"DDB_G0270800"	""	0.069
"Q55FT8"	"DDB_G0267958"	"DDB_G0267958"	"bromodomain-containing protein, SMAD/FHA domain-containing protein, BRD group protein"	0.069
"Q86A97"	"DDB_G0274279"	"tssc1"	"WD40 repeat-containing protein"	0.069
"Q8MPA7"	"DDB_G0276875"	"hspG5"	"heat shock protein Hsp20 domain-containing protein"	0.069
"Q54HM5"	"DDB_G0289379"	"syn1A"	"t-SNARE family protein, putative syntaxin 1"	0.07
"Q54NZ0"	"DDB_G0284911"	"timm10"	"mitochondrial import inner membrane translocase subunit 10"	0.07
"Q54RX7"	"DDB_G0282851"	"cepL"	"centrosomal protein 191 kDa"	0.07
"Q54T63"	"DDB_G0281979"	"DDB_G0281979"	""	0.07
"Q55C16"	"DDB_G0270272"	"uae1"	"ubiquitin activating enzyme E1"	0.07
"Q55CS1"	"DDB_G0270690"	"DDB_G0270690"	""	0.07
"Q869N6"	"DDB_G0271866"	"DDB_G0271866"	"enoyl-CoA hydratase/isomerase family protein"	0.07
"Q86AX3"	"DDB_G0277727"	"uroc1"	"urocanate hydratase, urocanase"	0.07
"Q54BW3"	"DDB_G0293378"	"DDB_G0293378"	"Protein disulfide-isomerase TMX3"	0.072
"Q54W90"	"DDB_G0279823"	"sey1"	"atlastin"	0.072
"Q554H5"	"DDB_G0275125"	"plbF"	"phospholipase B-like protein"	0.072
"Q55DU1"	"DDB_G0269518"	"abnB"	"actobindin B"	0.072
"Q75JK9"	"DDB_G0276079"	"mproS"	"prolyl-tRNA synthetase, proline-tRNA ligase, putative mitochondrial prolyl-tRNA synthetase, putative mitochondrial proline-tRNA ligase"	0.072
"Q8MMN1"	"DDB_G0276949"	"hspG6"	"heat shock protein Hsp20 domain-containing protein"	0.072
"P15112"	"DDB_G0288373"	"efbA"	"elongation factor 2"	0.073
"Q54ED1"	"DDB_G0291572"	"DDB_G0291572"	"unknown"	0.073
"Q54G91"	"DDB_G0290305"	"DDB_G0290305"	""	0.073
"Q54Q68"	"DDB_G0284043"	"aplA"	"amoebapore-like protein A"	0.073
"Q55G90"	"DDB_G0268518"	"DDB_G0268518"	"Ribosome-recycling factor, mitochondrial"	0.073
"P27133"	"DDB_G0267382"	"corA"	"coronin"	0.074
"Q54EQ8"	"DDB_G0291390"	"nup98"	"putative nucleoporin 98, putative nucleoporin 96, putative Nup98-Nup96 precurser"	0.074
"Q54QC2"	"DDB_G0283949"	"DDB_G0283949"	"UPF0341 protein yhiQ"	0.074
"Q54VS8"	"DDB_G0280159"	"DDB_G0280159"	"unknown"	0.074
"Q54H86"	"DDB_G0289623"	"pex11"	"transmembrane protein, peroxisomal biogenesis factor 11, peroxin 11"	0.075
"Q54RI3"	"DDB_G0283125"	"uduD2"	"N-terminal delta endotoxin domain-containing protein"	0.075
"Q54TF2"	"DDB_G0281783"	"DDB_G0281783"	""	0.075
"Q551M9"	"DDB_G0276537"	"DDB_G0276537"	""	0.075
"Q55CR6"	"DDB_G0269932"	"uap56"	"DEAD/DEAH box helicase, putative RNA splicing factor, ATP-dependent RNA helicase"	0.075
"Q54FE2"	"DDB_G0290947"	"DDB_G0290947"	""	0.076
"Q54GG6"	"DDB_G0290177"	"DDB_G0290177"	"putative transmembrane protein"	0.076
"Q54H38"	"DDB_G0289723"	"abhd"	"alpha/beta hydrolase fold-1 domain-containing protein, abhydrolase domain-containing protein"	0.076
"Q54PG5"	"DDB_G0284571"	"gacC"	"RhoGAP domain-containing protein"	0.076
"Q54Q20"	"DDB_G0284135"	"DDB_G0284135"	""	0.076
"Q54XN5"	"DDB_G0278831"	"DDB_G0278831"	""	0.076
"Q54YN3"	"DDB_G0278153"	"tmem111"	"transmembrane protein, DUF850 family protein, TMEM111 family protein"	0.076
"Q54ZT0"	"DDB_G0277369"	"DDB_G0277369"	"NAP (nucleosome assembly protein) family protein"	0.076
"Q55B10"	"DDB_G0271490"	"melA"	"putative alpha-galactosidase, putative melibiase"	0.076
"Q55CN9"	"DDB_G0269976"	"DDB_G0269976"	""	0.076
"P34043"	"DDB_G0286185"	"gpaE"	"G-protein subunit alpha 5"	0.077
"Q54ES9"	"DDB_G0291358"	"cct2"	"chaperonin containing TCP1 beta subunit"	0.077
"Q54FD6"	"DDB_G0290929"	"gtf2b"	"transcription initiation factor IIB"	0.077
"Q54LC4"	"DDB_G0286713"	"DDB_G0286713"	""	0.077
"Q54SF2"	"DDB_G0282767"	"DDB_G0282767"	""	0.077
"Q54SJ5"	"DDB_G0282429"	"DDB_G0282429"	"putative myosin light chain kinase DDB_G0282429"	0.077
"Q55BM7"	"DDB_G0270438"	"DDB_G0270438"	"putative transmembrane protein"	0.077
"Q86KA1"	"DDB_G0274407"	"DDB_G0274407"	"39S ribosomal protein L12, mitochondrial"	0.077
"P48160"	"DDB_G0292388"	"rpl27a"	"S60 ribosomal protein L27a"	0.078
"Q54CJ1"	"DDB_G0292978"	"DDB_G0292978"	"GRAM domain-containing protein"	0.078
"Q54I60"	"DDB_G0288985"	"purN"	"phosphoribosylglycinamide formyltransferase"	0.079
"Q54TD0"	"DDB_G0281823"	"tpp1F"	"tripeptidyl-peptidase 1F"	0.079
"Q54YR9"	"DDB_G0278113"	"DDB_G0278113"	"protein-tyrosine phosphatase-like protein, PTPLA family protein"	0.079
"Q55C56"	"DDB_G0270220"	"DDB_G0270220"	"Ankyrin repeat and protein kinase domain-containing protein 1"	0.079
"Q75JR2"	"DDB_G0272210"	"idhM"	"isocitrate dehydrogenase (NADP+), isocitrate dehydrogenase (NADP+), mitochondrial"	0.079
"P32256"	"DDB_G0269196"	"tubB"	"beta-tubulin"	0.08
"P54661"	"DDB_G0287587"	"smlA"	"small aggregate formation protein"	0.08
"Q54F80"	"DDB_G0291021"	"gacD"	"RhoGAP domain-containing protein"	0.08
"Q54JZ4"	"DDB_G0287721"	"DDB_G0287721"	""	0.08
"Q54QG4"	"DDB_G0283843"	"DDB_G0283843"	"unknown"	0.08
"Q54Y55"	"DDB_G0278409"	"shkC"	"SH2 domain-containing protein, protein kinase, TKL group, tyrosine kinase-like protein, SHK subfamily protein kinase"	0.08
"Q55DV9"	"DDB_G0269122"	"cysA"	"cystathionine gamma-lyase"	0.08
"Q55DW5"	"DDB_G0269502"	"nup160"	"nucleoporin 160"	0.08
"Q7Z1Z9"	"DDB_G0289883"	"cupG"	"calcium up-regulated protein, ricin B lectin domain-containing protein"	0.08
"Q86A88"	"DDB_G0274815"	"dlcB"	"cytoplasmic dynein light chain, dynein light chain LC8-type 2, dynein light chain type 1 family protein"	0.08
"Q86AD9"	"DDB_G0271544"	"acat"	"acetoacetyl-CoA thiolase"	0.08
"Q86CR8"	"DDB_G0286191"	"atg8a"	"autophagy protein 8a"	0.08
"Q86J12"	"DDB_G0274269"	"DDB_G0274269"	"putative histone acetyltransferase"	0.08
"B0G0Z0"	"DDB_G0270778"	"DDB_G0270778"	"putative prolyl 4-hydroxylase alpha subunit"	0.081
"P54654"	"DDB_G0288769"	"cap"	"cyclase associated protein"	0.081
"Q23888"	"DDB_G0294036"	"mrpl2"	"ribosomal protein L2, mitochondrial"	0.081
"Q54C27"	"DDB_G0293224"	"ost1"	"dolichyl-diphosphooligosaccharide-protein glycotransferase subunit Ost1"	0.081
"Q54IC1"	"DDB_G0288849"	"DDB_G0288849"	"endoplasmic oxidoreductin-1"	0.081
"Q54WM4"	"DDB_G0279549"	"eif3G"	"eukaryotic translation initiation factor 3 (eIF3) subunit G"	0.081
"Q54X06"	"DDB_G0279285"	"DDB_G0279285"	"UBX domain-containing protein 9"	0.081
"Q54XM6"	"DDB_G0278849"	"etfdh"	"electron transfer flavoprotein-ubiquinone oxidoreductase, electron-transferring-flavoprotein dehydrogenase"	0.081
"Q7KWM5"	"DDB_G0272730"	"alg2"	"glycosyltransferase, alpha-1,3-mannosyltransferase"	0.081
"Q54CL2"	"DDB_G0292872"	"cct4"	"chaperonin containing TCP1 delta subunit"	0.082
"Q54P77"	"DDB_G0284831"	"4cl1"	"4-coumarate-CoA ligase"	0.082
"Q54RI8"	"DDB_G0283121"	"DDB_G0283121"	"methenyl tetrahydrofolate cyclohydrolase / NADP-dependent methylene H4F dehydrogenase"	0.082
"Q54LP1"	"DDB_G0286523"	"DDB_G0286523"	""	0.083
"Q553V1"	"DDB_G0275311"	"DDB_G0275311"	"citrate synthase, mitochondrial"	0.083
"Q55D06"	"DDB_G0269830"	"DDB_G0269830"	"Ribosomal RNA-processing protein 7"	0.083
"Q55EC2"	"DDB_G0270470"	"DDB_G0270470"	"tetratricopeptide TPR-1 repeat-containing protein"	0.083
"P54683"	"DDB_G0286119"	"tagB"	"serine protease/ABC transporter TagB"	0.084
"Q54K33"	"DDB_G0287629"	"rbx1"	"putative RING box protein"	0.084
"Q54N08"	"DDB_G0285575"	"alkB"	"alkylated DNA repair protein"	0.084
"Q54GI7"	"DDB_G0290139"	"DDB_G0290139"	"peptidase S28 family protein"	0.085
"Q54HV4"	"DDB_G0289203"	"DDB_G0289203"	""	0.085
"Q54PA9"	"DDB_G0284669"	"prsA"	"phosphoribosyl pyrophosphate synthetase"	0.085
"Q54I10"	"DDB_G0289085"	"mmsdh"	"methylmalonate-semialdehyde dehydrogenase (acylating)"	0.086
"Q54MR1"	"DDB_G0285717"	"gloB1"	"hydroxyacylglutathione hydrolase, glyoxylase II, beta-lactamase domain-containing protein"	0.086
"Q54SP2"	"DDB_G0282297"	"forB"	"actin binding protein, formin homology domain-containing protein"	0.087
"Q54G64"	"DDB_G0290377"	"agnB"	"argonaut-like protein"	0.088
"Q54J47"	"DDB_G0288299"	"pdx1"	"vitamin B6 biosynthesis protein, putative pyridoxal biosynthesis protein PDX1"	0.088
"Q54W88"	"DDB_G0279827"	"ivdA"	"isovaleryl-CoA dehydrogenase, mitochondrial"	0.088
"Q55G48"	"DDB_G0267824"	"DDB_G0267824"	""	0.088
"Q8T6B4"	"DDB_G0267436"	"abcF4"	"putative non-transporter ABC protein"	0.088
"Q54K66"	"DDB_G0287557"	"pno1"	"RNA-binding protein PNO1"	0.089
"Q54RX6"	"DDB_G0282853"	"tpt1"	"TCTP family protein 1"	0.089
